FILIAL_CRU;UNIDADE_EMP;BOLETIM_CRB;TANQUE_CRU;AMOSTRA_CRU;DATA_CRB;PROCEDENCIA_CRB;NF_CRB;VOLUME_CRB;CALCIO_CRU;CRIOSCOPIA_CRU;REDUTASE_CRU;GORDURA_CRU;FORNECDEST_CRU;TEMPERATURA_CRU;SIF_EMP;TIPOLEITE_CRB;SIF_CRB;DESTINO_CRU;PESO_CRB;PH_CRU;DENSIDADE_CRU;EST_CRU;ESD_CRU;ACIDEZ_CRU;PROVALCOOL_CRU;FORMOL_CRU;UREIA_CRU;PROT_CRU;ALCOOL_CRU;LACT_CRU;CGMP_CRU;ANALISTAS
1;PATROCINIO PAULISTA;100886;1;1;01/01/2023;CARMO DA MATA;3990;11158;1.26;0.535;03:00;3.46;218;4.1;2379;SEMIDESNATADO;415;SILO;42050;6.73;1030.6;12.06;8.6;15;P;;39;;;;30;LORRANA
1;PATROCINIO PAULISTA;100886;3;2;01/01/2023;CARMO DA MATA;3990;11158;1.20;0.534;03:00;3.43;218;5.1;2379;SEMIDESNATADO;415;SILO;42050;6.79;1030.7;12.04;8.61;15;P;;38;;;;30;LORRANA
1;PATROCINIO PAULISTA;100887;2;1;01/01/2023;FRUTAL;16871;6834;1.28;0.543;02:00;3.85;225;5.4;2379;INTEGRAL;1784;SILO;40020;6.72;1031.8;12.83;8.98;16;P;;33;;;;30;LORRANA
1;PATROCINIO PAULISTA;100887;3;2;01/01/2023;FRUTAL;16871;6834;1.23;0.539;02:00;3.53;225;4.7;2379;SEMIDESNATADO;1784;SILO;40020;6.73;1030.8;12.2;8.67;16;P;;36;;;;30;LORRANA
1;PATROCINIO PAULISTA;100887;1;3;01/01/2023;FRUTAL;16871;6834;1.28;0.54;02:00;3.85;225;5;2379;INTEGRAL;1784;SILO;40020;6.8;1030.8;12.58;8.73;15;P;;1;;;;30;LORRANA
1;PATROCINIO PAULISTA;100888;1;1;01/01/2023;CORPLES;301678;11250;1.28;0.54;03:20;3.02;224;5.6;2379;DESNATADO;0;SILO;53710;6.73;1031.6;11.78;8.76;16;P;N;38;;N;;30;LORRANA
1;PATROCINIO PAULISTA;100888;2;2;01/01/2023;CORPLES;301678;11250;1.24;0.541;03:20;3.06;224;5.3;2379;DESNATADO;0;SILO;53710;6.74;1031.8;11.88;8.82;16;P;N;38;;N;;30;LORRANA
1;PATROCINIO PAULISTA;100888;3;3;01/01/2023;CORPLES;301678;11250;1.23;0.541;03:20;3.32;224;4.8;2379;DESNATADO;0;SILO;53710;6.73;1031.6;12.14;8.82;16;P;N;39;;N;;30;LORRANA
1;PATROCINIO PAULISTA;100889;1;1;01/01/2023;GUARDA MOR;6187;12075;1.21;0.54;01:00;3.9;218;5.4;2379;INTEGRAL;1588;SILO;40250;6.75;1030.8;12.64;8.74;15;P;;37;;;;30;LORRANA
1;PATROCINIO PAULISTA;100889;2;2;01/01/2023;GUARDA MOR;6187;12075;1.31;0.543;01:00;3.75;218;5.6;2379;INTEGRAL;1588;SILO;40250;6.75;1031.4;12.61;8.86;15;P;;38;;;;30;LORRANA
1;PATROCINIO PAULISTA;100890;1;1;01/01/2023;RIVERSUL;5760;10610;1.25;0.537;06:00;3.9;219;5.6;2379;INTEGRAL;4594;SILO;51530;6.78;1030.6;12.59;8.69;15;P;;38;;;;30;LORRANA
1;PATROCINIO PAULISTA;100890;2;2;01/01/2023;RIVERSUL;5760;10610;1.31;0.539;06:00;3.79;219;5.4;2379;INTEGRAL;4594;SILO;51530;6.74;1030.8;12.51;8.72;16;P;;37;;;;30;LORRANA
1;PATROCINIO PAULISTA;100890;3;3;01/01/2023;RIVERSUL;5760;10610;1.30;0.538;06:00;3.7;219;5.8;2379;INTEGRAL;4594;SILO;51530;6.79;1031;12.45;8.75;15;P;;36;;;;30;LORRANA
1;PATROCINIO PAULISTA;100891;1;1;01/01/2023;SOCORRO_FAZENDA 7;5013;11882;1.25;0.535;01:00;3;225;3.5;2379;DESNATADO;0;SILO;55490;6.82;1030;11.36;8.36;14;P;;30;;;;30;LORRANA
1;PATROCINIO PAULISTA;100891;2;2;01/01/2023;SOCORRO_FAZENDA 7;5013;11882;1.21;0.536;01:00;3;225;3.3;2379;DESNATADO;0;SILO;55490;6.8;1030.2;11.41;8.41;14;P;;32;;;;30;LORRANA
1;PATROCINIO PAULISTA;100891;3;3;01/01/2023;SOCORRO_FAZENDA 7;5013;11882;1.30;0.535;01:00;3;225;3.8;2379;DESNATADO;0;SILO;55490;6.81;1030.2;11.41;8.41;14;P;;31;;;;30;LORRANA
1;PATROCINIO PAULISTA;100892;1;1;01/01/2023;FAZENDA 2;25909;3178;1.30;0.534;06:20;3.9;226;7.1;2379;INTEGRAL;2379;SILO;27340;6.7;1031.2;12.74;8.84;16;P;;40;;;;30;LORRANA
1;PATROCINIO PAULISTA;100892;2;2;01/01/2023;FAZENDA 2;25909;3178;1.29;0.54;06:20;3.9;226;6.7;2379;INTEGRAL;2379;SILO;27340;6.72;1031.2;12.74;8.84;16;P;;40;;;;30;LORRANA
1;PATROCINIO PAULISTA;100892;3;3;01/01/2023;FAZENDA 2;25909;3178;1.23;0.541;06:20;3.9;226;7.3;2379;INTEGRAL;2379;SILO;27340;6.69;1031.4;12.79;8.89;16;P;;40;;;;30;LORRANA
1;PATROCINIO PAULISTA;100892;4;4;01/01/2023;FAZENDA 2;25909;3178;1.27;0.537;06:20;3.9;226;6.8;2379;INTEGRAL;2379;SILO;27340;6.69;1031.6;12.84;8.94;16;P;;40;;;;30;LORRANA
1;PATROCINIO PAULISTA;100893;1;1;01/01/2023;SANTO ANTONIO DA PLATINA;7149;11629;1.27;0.534;06:00;3.9;218;5.8;2379;INTEGRAL;871;SILO;58060;6.74;1030.6;12.59;8.69;15;P;;34;;;;30;LORRANA
1;PATROCINIO PAULISTA;100893;2;2;01/01/2023;SANTO ANTONIO DA PLATINA;7149;11629;1.27;0.535;05:00;3.9;218;4.7;2379;INTEGRAL;871;SILO;58060;6.76;1030.8;12.64;8.74;15;P;;34;;;;30;LORRANA
